	S62	S63	S64	S65	S66	S68	S69	S71	S72	S74	S82	S83	S84	S85	S86
COMPLETE-ARO-PWY	14055.818649936095	0.0	21334.114204070698	1439.6192133691634	491.25794284773593	1071.7413448483362	792.3946293832204	2548.7548141555544	2645.078572786223	4287.832669588373	9615.993456949775	1803.4878674592778	8830.034218580307	6004.968357041381	3372.8694336838334
CRNFORCAT-PWY	0.0	0.0	42.91220536329052	0.0	0.0	0.0	0.0	0.0	0.0	198.60768801990386	403.6762524323548	81.25349156202611	249.60623696783932	0.0	321.7802775920481
DAPLYSINESYN-PWY	10379.476329032823	0.0	19799.98789091166	1289.7104859036062	483.8773591409123	989.0493154067483	179.4451180408782	2314.603825234878	2443.746531310571	3042.002657297621	8412.192354910318	1600.8316181684825	7544.472958778276	5520.917568375121	3523.7298999228633
DENITRIFICATION-PWY	15.582278053578408	0.0	73.86689678486509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.73547843693541	0.0	169.0605297489003	205.1947098567877	286.02398009428515
DENOVOPURINE2-PWY	11090.372288751758	0.0	19120.82123377598	335.06786632803704	402.769208551044	827.1984459639763	640.844336022983	2259.6004552150785	2592.256716897259	2924.4422680771468	8694.854742163876	1940.093321491334	8257.616636263245	6295.006516724648	3625.6770210442337
DHGLUCONATE-PYR-CAT-PWY	0.0	0.0	0.012381231392265142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01230658883387745
DTDPRHAMSYN-PWY	10373.837381490393	0.0	14201.29231563237	664.4455848110166	93.3073190432279	758.7875220949304	542.8615514119534	1875.6710044720603	2278.2549555277337	468.5621452991397	6388.99772739436	1640.094056743365	7102.367773848621	5857.989070492721	3025.6128635505434
ECASYN-PWY	356.97015984111454	0.0	0.01724211629107727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004371425468092564	0.001315416683209485	0.01576897828390664
ENTBACSYN-PWY	1609.0196660245133	0.0	1985.1001500120651	0.0	0.0	0.0	0.0	0.0	0.0	445.89986140809896	7.214917396616281	0.0	0.0	0.0	1097.771205371124
FAO-PWY	4106.426092927614	0.0	1820.1389662194313	0.0	1.9619916535559323	0.1700264218115213	0.0	2.5462015597539107	0.0	4714.420261997814	1469.1851713616948	274.15624047480776	1281.7150015074133	993.9937595450344	1035.2410290060207
FASYN-ELONG-PWY	8394.235657099789	0.0	8205.145125146326	0.0	0.0	0.9063225379410058	205.81607645806676	627.0224096686433	1704.7163066857217	4020.729867510804	4536.195172003501	1193.8302672866928	5429.105320442921	5185.619615585209	3015.7870729693886
FASYN-INITIAL-PWY	6129.029471098887	0.0	484.5227888757009	0.0	0.0	0.0	0.0	0.0	0.0	1869.1522327547839	743.2781121966265	0.0	846.4124050077464	1963.3040540210868	780.2542997915934
FERMENTATION-PWY	8861.755544008553	0.0	13413.130134362433	197.79053516534262	0.0	240.4805335314045	564.6972096052007	1280.19254036144	1591.7837382456237	2146.6424362285716	5532.194856592679	1536.5103875300538	5803.272708102991	4191.6595057937075	3099.642801595349
