	shannon
10249.C007.19SS	4.2103242317161955
10249.C008.12SS	4.224223052691895
10249.C008.13SS	4.132689037365591
10249.C008.14SS	4.424629518010027
10249.C009.14SS	4.080022987519368
10249.C010.14SS	3.7763418982943953
10249.C010.15SS	4.110688509936873
10249.C010.16SS	4.112403255883276
10249.C011.11SS	3.934098773287243
10249.C011.12SS	4.239249700868106
10249.C011.14SS	3.0991053269005713
10249.C012.14SS	3.9774450900851286
10249.C012.15SS	3.565683588521572
10249.C012.16SS	4.157105853593935
10249.C012.17SS	4.124009790977802
10249.C014.12SS	4.582603094592298
10249.C014.13SS	4.491924018307383
10249.C014.15SS	3.295832563250974
10249.C016.13SS	3.8811947574592525
10249.C016.14SS	3.662717437490943
10249.C016.15SS	4.2819717640214625
10249.C016.17SS	4.173547192740605
10249.C018.09SS	4.01828192885872
10249.C018.10SS	4.066518407955002
10249.C018.11SS	4.405154370831221
10249.C018.12SS	4.080857592935703
10249.C018.13SS	4.3600676504103015
10249.C020.16SS	4.26749584070677
10249.C020.17SS	3.7607724076419955
10249.C020.18SS	3.323330588159374
10249.C020.19SS	3.714989947646814
10249.C021.08SS	3.7636162340288815
10249.C021.09SS	4.017514115129889
10249.C021.10SS	4.054644414249023
10249.C022.11SS	3.488193569339034
10249.C022.12SS	3.8633752710095957
10249.C022.13SS	4.097483606844183
10249.C024.12SS	4.667787962879007
10249.C024.13SS	4.594756906950463
10249.C024.14SS	5.172985816164744
10249.C024.15SS	4.855477160297674
10249.C025.11SS	2.5600548833725916
10249.C025.12SS	3.4010454817599585
10249.C025.13SS	2.9003697773225183
10249.C025.14SS	3.125979226084514
10249.C027.09SS	4.25274231785136
10249.C027.10SS	4.3820824041067175
10249.C027.12SS	4.505597047790842
10249.C027.13SS	4.478525114156241
10249.C030.09SS	2.4754667225361113
10249.C030.10SS	3.05346581549106
10249.C030.11SS	2.3925690582883568
10249.C031.10SS	3.059763175535623
10249.C032.10SS	2.670978177739677
10249.C032.11SS	2.75119501149141
10249.C033.07SS	2.7788449093970833
10249.C033.08SS	2.7862567131208
10249.C033.09SS	2.8370668077918006
10249.C033.10SS	3.082542252067304
10249.C034.07SS	3.328551569194185
10249.C034.08SS	3.1650736739632594
10249.C034.09SS	3.0714626308488233
10249.C034.10SS	2.859803154492749
10249.C035.04SS	2.611432431218027
10249.C035.06SS	2.7477654289207374
10249.C036.04SS	3.446104365861754
10249.C036.05SS	2.023067555388162
10249.C037.04SS	2.8129097134473837
10249.C037.06SS	2.7264867044599645
10249.C038.04SS	3.4820704048779287
10249.C038.05SS	3.5738104745809487
10249.C038.06SS	3.848853974338944
10249.C041.03SS	2.7575894787819957
10249.C041.05SS	2.6799340606885216
10249.C042.03SS	3.3775387685245155
10249.C042.05SS	3.726490582460625
10249.C043.02SS	2.330041451636751
10249.C043.04SS	2.9664875300043994
10249.C044.02SS	2.6036831681685415
10249.C044.03SS	2.8286724926809805
10249.C044.05SS	2.380702772025517
10249.C001.32SS	4.360026023834165
10249.C001.34SD	4.1876731942837475
10249.C001.34SS	4.144382356781942
10249.C001.36SD	4.529459400702027
10249.C001.36SS	4.487348565512728
10249.C002.18SS	4.964519115524262
10249.C002.19SD	4.887260468028199
10249.C002.19SS	4.623718482978339
10249.C002.21SD	4.584973008989452
10249.C002.21SS	4.60377961965275
10249.C005.18SS	3.9585928069940173
10249.C005.19SD	3.550807654187774
10249.C005.19SS	3.8743768995739036
10249.C005.21SD	4.109963783382785
10249.C005.21SS	4.025076341211703
10249.C007.20SS	4.938816766670052
10249.C007.22SD	4.914936682052281
10249.C007.22SS	4.97924190351862
10249.C007.23SD	4.807485247082591
10249.C007.23SS	4.954064332110097
10249.C007.24SD	4.507888664688525
10249.C007.24SS	5.160982655868825
10249.C008.16SD	4.540441769756157
10249.C008.16SS	4.528936613342781
10249.C009.17SS	4.804850858824278
10249.C009.18SD	4.93424215038505
10249.C009.18SS	4.487943178334106
10249.C009.19SS	5.19613641724121
10249.C009.20SD	3.9324838309968473
10249.C009.20SS	4.234507094414864
10249.C010.18SD	4.359686553135529
10249.C010.18SS	4.153386565609117
10249.C010.19SS	4.648898534496497
10249.C010.20SD	4.6248294168050865
10249.C010.20SS	4.500577493330558
10249.C011.13SD	4.767602583408976
10249.C011.17SD	3.47651248969101
10249.C011.17SS	3.131607924805026
10249.C011.19SD	4.242769976611696
10249.C011.19SS	4.11807124288766
10249.C012.19SD	3.975991260553821
10249.C012.19SS	4.1654324110608485
10249.C012.21SD	2.9582518188187628
10249.C012.21SS	3.0519813390375563
10249.C012.22SD	3.839980421946092
10249.C012.22SS	3.6176543974471493
10249.C014.16SS	4.317716694695269
10249.C014.19SD	5.076914861831595
10249.C014.19SS	5.107726651157555
10249.C014.20SD	4.988728775180002
10249.C014.20SS	4.855936126674998
10249.C016.18SS	4.723554882500363
10249.C016.21SD	4.15665190118306
10249.C016.21SS	4.936885571598998
10249.C016.22SD	5.221057531336474
10249.C016.22SS	5.354381335467743
10249.C018.11SD	4.317335141956714
10249.C018.12SD	3.7370148163273345
10249.C018.14SS	4.975793486120236
10249.C020.20SS	3.4295266511131732
10249.C020.22SD	4.628644749265049
10249.C020.22SS	4.3627461659374
10249.C020.23SD	4.695506756861254
10249.C020.23SS	4.571485619635392
10249.C020.24SD	3.834047715344875
10249.C020.24SS	3.818316959035457
10249.C020.25SD	3.8904506787814674
10249.C020.25SS	3.7885452645332434
10249.C020.26SD	5.008189078259624
10249.C020.26SS	4.758824217838865
10249.C021.12SS	4.143360141429677
10249.C022.15SS	3.0564680664689052
10249.C022.18SD	4.263777834764333
10249.C022.18SS	3.9354358223406463
10249.C024.16SS	5.154667102887922
10249.C024.17SS	4.72650242281844
10249.C024.19SD	4.259166501863007
10249.C024.19SS	4.750200029777335
10249.C024.20SD	4.8912239640476
10249.C024.20SS	4.77914726832893
10249.C025.13SD	3.629598911287022
10249.C025.14SD	4.000540680457899
10249.C025.15SS	3.8693693901277726
10249.C025.16SS	3.657134201327766
10249.C025.18SS	3.506842204410263
10249.C025.19SD	3.978721780381836
10249.C025.19SS	3.3542438205240948
10249.C027.11SD	4.469349057004122
10249.C027.12SD	4.742185282781976
10249.C027.16SS	3.290401847070221
10249.C027.17SD	4.127579092997679
10249.C027.17SS	3.993735115645079
10249.C027.19SD	4.317314195456201
